uniref90_cluster	length	percent_identity_to_query
UniRef90_A0A8B9FBA6	488	48.3
UniRef90_UPI002E118C7C	626	45.9
UniRef90_UPI003D9F6387	485	49.0
UniRef90_H3BE87	486	45.4
UniRef90_A0A8C6YNY3	547	43.1
UniRef90_A0A3Q1EUW8	440	46.0
UniRef90_A0A8C5HR06	474	45.8
UniRef90_UPI002241DBB1	456	45.3
UniRef90_A0A8C5BRR5	489	42.7
UniRef90_A0A8C6YPX5	480	47.5
UniRef90_A0A8C6NGY0	496	47.7
UniRef90_A0A8D2LKV3	467	44.3
UniRef90_A0AAV6QWY2	642	46.2
UniRef90_UPI001CFA6FF8	439	47.0
UniRef90_A0ACF8H735	452	45.3
UniRef90_A0A556U495	420	47.6
UniRef90_UPI0035289653	463	46.9
UniRef90_A0A3B1K807	442	46.8
UniRef90_UPI003F58388C	434	47.4
UniRef90_A0A8C9WNF3	489	45.2
UniRef90_A0A1U7S2S2	470	46.6
UniRef90_A0A8T0BAI3	521	46.8
UniRef90_A0A3Q1IPK8	500	42.0
UniRef90_UPI00230280C9	457	47.6
UniRef90_UPI000B4ED45E	480	45.1
UniRef90_A0A6P8S930	482	44.9
UniRef90_A0A9W8CA11	461	45.9
UniRef90_A0A8C4RMK8	472	45.0
UniRef90_A0A7L1XYX3	431	47.3
UniRef90_A0A673C2F9	425	49.6
UniRef90_UPI003EBCC1C1	479	47.9
UniRef90_UPI00245872FD	503	43.6
UniRef90_UPI0034627AF9	450	47.5
UniRef90_A0A3B3XS70	463	44.7
UniRef90_A0A3B4EJH6	497	44.4
UniRef90_UPI0031F35688	476	45.5
UniRef90_A0A672FGA2	447	45.4
UniRef90_UPI0037E87AC1	488	46.8
UniRef90_A0A6J2GMV8	478	48.0
UniRef90_A0A6P7ZB40	484	45.2
UniRef90_UPI001ED7EBF6	444	44.9
UniRef90_UPI001C4D7853	445	46.5
UniRef90_A0A6Q2XKV1	445	45.6
UniRef90_A0A669CBX7	458	44.4
UniRef90_A0A7K9SJW8	431	46.1
UniRef90_A0A3B3SLD5	455	46.1
UniRef90_A0A3Q0SGG4	468	46.0
UniRef90_A0A4Z2C936	480	44.6
UniRef90_UPI003D9E07E7	503	43.9
UniRef90_A0A8J0Q6S8	462	46.3
UniRef90_A0A3Q4M5G5	487	44.5
UniRef90_G1K953	445	46.3
UniRef90_UPI0035AFD83C	468	43.2
UniRef90_A0A1S3MZA3	539	45.4
UniRef90_UPI003D9DB855	429	48.0
UniRef90_A0A672JM61	442	44.2
UniRef90_A0A7M4EWL3	483	47.0
UniRef90_UPI001630DF5F	445	46.3
UniRef90_A0A8T2PB03	546	41.5
UniRef90_UPI00355A7912	490	44.2
UniRef90_A0A6J2S4I1	418	48.5
UniRef90_A0ACF8GZG5	455	44.7
UniRef90_A0A3Q4G3H0	477	42.5
UniRef90_A0A3Q3E7F5	463	44.9
UniRef90_A0A6P3VRC8	519	44.6
UniRef90_UPI001B3A84E5	444	44.5
UniRef90_A0A4W3GJ26	455	45.6
UniRef90_A0A8C4RLA0	479	45.5
UniRef90_UPI0037186A93	482	39.6
UniRef90_A0A087YG45	441	44.2
UniRef90_A0A2U9B293	444	46.0
UniRef90_A0A8T1T404	415	47.1
UniRef90_UPI0023EB9C32	418	46.4
UniRef90_UPI003F7761DA	440	42.3
UniRef90_UPI00187CAD7F	464	45.1
UniRef90_UPI00398E69C1	470	45.3
UniRef90_A0ABD1K2F4	449	45.9
UniRef90_UPI003B50D01A	584	46.4
UniRef90_A0A8B9ECB9	444	47.6
UniRef90_UPI002A59895E	455	44.7
UniRef90_A0A8B7JLH7	478	45.9
UniRef90_UPI001131FD47	604	45.4
UniRef90_A0A6I9HH42	446	45.1
UniRef90_K7G342	479	47.9
UniRef90_A0A669P0Z8	491	46.5
UniRef90_A0A3B1JNN1	486	46.5
UniRef90_H3AI34	443	44.0
UniRef90_W5NFW5	443	47.8
UniRef90_UPI0029C81D63	555	42.9
UniRef90_UPI0014721550	444	42.8
UniRef90_A0A8B9NQD1	499	43.1
UniRef90_A0A8V0XCF7	478	47.3
UniRef90_UPI001FAF28C3	558	44.5
UniRef90_UPI00370452E6	458	43.6
UniRef90_A0A8C4X4H1	508	43.4
UniRef90_A0A673HSX4	446	42.0
UniRef90_A0A4W6BIU8	449	44.9
UniRef90_A0A6J2UQQ0	495	43.9
UniRef90_A0A8C3TTW5	485	47.0
UniRef90_A0A9Y3VSU7	444	45.2
UniRef90_A0ABQ7SH07	450	46.0
UniRef90_W5K008	494	43.6
UniRef90_UPI0020B30AA7	519	43.6
UniRef90_A0A667X0A6	455	45.0
UniRef90_A0A556U4A4	500	41.8
UniRef90_A0A3B3C1K4	512	42.0
UniRef90_A0A3Q2CIJ5	437	44.1
UniRef90_UPI001C4B71E2	450	45.8
UniRef90_UPI003B97CC9A	455	45.2
UniRef90_A0A8D0BT80	501	47.0
UniRef90_UPI0023EAE733	451	44.6
UniRef90_UPI003A5C38CE	443	46.1
UniRef90_UPI00371BEA3D	476	42.8
UniRef90_A0A3P8UPR6	444	45.0
UniRef90_A0AAW1ETK6	477	44.7
UniRef90_A0A8C9L7Y5	489	46.0
UniRef90_A0A673HQS3	479	43.4
UniRef90_A0A3B3XS23	459	44.2
UniRef90_A0A8C3QPF0	459	47.3
UniRef90_UPI0034633167	492	43.6
UniRef90_A0A3Q2E1L8	441	44.5
UniRef90_UPI0040434DE9	454	45.4
UniRef90_A0A3Q3E3U7	465	45.7
UniRef90_A0AAV6SX12	444	44.7
UniRef90_UPI003F75AFBD	466	41.7
UniRef90_UPI00355AD348	501	42.6
UniRef90_A0A3Q4M5E8	491	46.1
UniRef90_UPI0037511BE8	643	43.9
UniRef90_UPI003F58C3D9	452	44.3
UniRef90_A0A668SHC6	444	44.8
UniRef90_A0A9Q1GDV2	455	44.5
UniRef90_A0A3Q4HFT0	456	45.3
UniRef90_A0ABQ7TKZ4	478	44.2
UniRef90_A0A8C3I6P5	457	46.9
UniRef90_A0A6Q2YM15	468	43.8
UniRef90_A0A673HQ50	502	43.4
UniRef90_UPI002234742E	480	41.6
UniRef90_A0A8C8HCX2	426	45.4
UniRef90_UPI0018ED93AE	444	45.3
UniRef90_A0A8C0INH5	466	45.2
UniRef90_UPI00234CF054	495	42.4
UniRef90_UPI001A99CC0D	444	44.2
UniRef90_UPI003464A453	458	41.9
UniRef90_UPI003CCF20B6	503	43.1
UniRef90_A0A3B3U4C6	481	43.5
UniRef90_UPI002F35D1E1	484	46.0
UniRef90_UPI0015E21269	419	47.8
UniRef90_UPI00165A9D3B	441	45.7
UniRef90_A0A146NMR9	441	45.7
UniRef90_A0A8T0B621	496	40.7
UniRef90_A0AA97JR37	487	46.3
UniRef90_A0A6G1QTS2	444	44.1
UniRef90_A0A8C0GII8	445	46.9
UniRef90_UPI0009A2C848	501	41.9
UniRef90_A0A671T0R3	460	43.1
UniRef90_A0A674IHI9	474	46.7
UniRef90_A0AAY4BFP9	464	42.9
UniRef90_A0A3P8VJ81	652	44.9
UniRef90_A0A401PFW4	501	45.5
UniRef90_A0A8C9L8F5	470	46.8
UniRef90_UPI002457423E	440	43.0
UniRef90_UPI0038321014	451	45.2
UniRef90_A0A8C6KZ47	441	44.3
UniRef90_A0AA97J848	511	44.2
UniRef90_UPI00214E813E	445	45.8
UniRef90_UPI0020B18952	468	43.3
UniRef90_UPI001BE61728	451	45.0
UniRef90_M7B9S8	464	43.6
UniRef90_H3C5A1	444	42.8
UniRef90_A0A3P9BV87	477	40.7
UniRef90_A0A3Q3ECK6	445	45.5
UniRef90_A0AAX7V0F3	503	44.1
UniRef90_A0A673BA89	452	44.2
UniRef90_UPI002DBD7578	566	45.1
UniRef90_UPI003CC8511D	444	44.8
UniRef90_UPI00189C8740	444	44.4
UniRef90_A0A9N7TUH5	592	45.1
UniRef90_A0AAY4BCU2	500	46.0
UniRef90_A0A4W5L404	479	44.9
UniRef90_A0A8C3QNX6	468	47.8
UniRef90_A0AAV2KPL2	514	42.8
UniRef90_A0AAW0NDF1	483	45.4
UniRef90_A0A3Q2CR97	486	45.8
UniRef90_A0A5A9PTA9	486	44.2
UniRef90_A0A8C5HD84	476	41.7
UniRef90_A0A9D3PAW8	490	42.4
UniRef90_A0ACF8H7W1	492	42.5
UniRef90_A0A3Q2PWK1	470	45.5
UniRef90_A0A9Y6J6L7	427	48.6
UniRef90_A0A1L8GZ06	484	46.0
UniRef90_A0A3B3DIS6	488	41.3
UniRef90_A0A9D3MBG2	455	45.2
UniRef90_UPI00237E6DF8	500	45.0
UniRef90_UPI00112E0243	489	45.3
UniRef90_A0AAD8DE45	489	44.7
UniRef90_UPI003463A971	490	44.9
UniRef90_A0A9W7X1F0	513	42.6
UniRef90_A0A3B4E2C2	494	43.9
UniRef90_A0A3Q3QUY9	441	42.5
UniRef90_A0A401P0J8	442	44.7
UniRef90_UPI0020B20427	497	45.2
UniRef90_UPI001B7F3F49	498	43.3
UniRef90_A0A2I4B6N0	521	43.5
UniRef90_UPI002E167BE5	433	43.7
UniRef90_A0AAV2KTN8	488	45.7
UniRef90_A0AAD8CVD0	466	44.0
UniRef90_UPI001E1C87D3	468	45.6
UniRef90_UPI003463B160	527	45.2
UniRef90_A0A3Q2XU96	475	43.8
UniRef90_UPI001888EEEC	476	43.0
UniRef90_UPI003991AFFE	444	44.0
UniRef90_A0A6P8TEQ5	435	46.5
UniRef90_A0A8C5PN78	502	46.0
UniRef90_UPI002FC62E7C	491	40.8
UniRef90_UPI00234A25BD	481	45.5
UniRef90_UPI002413139B	470	45.1
UniRef90_A0A3B1JC34	470	45.3
UniRef90_UPI0010154F11	507	43.2
UniRef90_UPI002302DC3C	507	41.8
UniRef90_UPI000854E19B	554	46.0
UniRef90_A0A6J2UP55	486	45.0
UniRef90_A0ABD1JWN2	475	44.5
UniRef90_UPI0027DF7CF9	444	44.4
UniRef90_A0AAW1E0N4	444	44.1
UniRef90_A0A3B4AEJ8	500	45.7
UniRef90_UPI00355B00AB	445	44.7
UniRef90_A0ACC2G252	489	46.0
UniRef90_UPI0027407BEF	469	44.1
UniRef90_UPI001CFA2ECC	494	39.9
UniRef90_UPI003F75CCDB	497	46.8
UniRef90_A0A9Y4K4L2	442	44.4
UniRef90_UPI0037E7F6DB	444	44.6
UniRef90_UPI001175F89C	500	45.5
UniRef90_UPI0024B517DB	512	44.0
UniRef90_W5NFW9	491	45.0
UniRef90_UPI002015536C	548	41.8
UniRef90_A0A8C6KXB7	503	46.0
UniRef90_A0A553MY34	503	37.7
UniRef90_A0A8C4WHK2	448	43.1
UniRef90_A0A7K6U597	471	46.3
UniRef90_UPI0035A32A3C	484	43.1
UniRef90_A0A6P7MTQ9	509	43.1
UniRef90_A0A6P8F500	487	45.8
UniRef90_A0A3Q1BT34	444	44.9
UniRef90_UPI002FCF682D	455	45.6
UniRef90_UPI002FD0AABB	490	45.2
UniRef90_UPI002E1184A1	550	42.3
UniRef90_A0A3B5L8D3	482	43.6
UniRef90_UPI00398EA36D	440	43.9
UniRef90_A0A6P7YIX4	507	44.4
UniRef90_H2L4E1	510	43.0
UniRef90_A0A2I4B6N4	444	44.8
UniRef90_A0A9D3XUN4	445	47.2
UniRef90_A0A8C3I9B1	478	46.2
UniRef90_A0A3P9D8B6	468	45.5
UniRef90_A0A673B516	514	44.0
UniRef90_UPI00112DC320	481	45.0
UniRef90_A0AAV7S9L6	504	44.8
UniRef90_UPI0028C46B11	505	45.3
UniRef90_A0A9R1SGY2	505	42.6
UniRef90_A0A8D0C0L2	506	43.4
UniRef90_UPI0024B582D9	497	46.0
UniRef90_H3BGF1	520	42.7
UniRef90_A0A6J2PCB4	487	44.8
UniRef90_A0A3Q2ZYS7	488	41.3
UniRef90_UPI002454FCB4	490	44.7
UniRef90_A0A2I4B6N6	503	46.0
UniRef90_UPI001CDCFE6F	470	45.9
UniRef90_A0A3B4BCT7	471	43.5
UniRef90_A0AAY4BFN4	495	44.3
UniRef90_A0A5N5NGG5	496	43.1
UniRef90_A0A672H8K4	508	45.3
UniRef90_A0AAV3AXJ4	475	43.8
UniRef90_UPI0014904C47	443	44.5
UniRef90_A0A3Q3N1W3	445	45.1
UniRef90_A0A3P8UK90	491	46.3
UniRef90_A0A671UEF5	470	43.0
UniRef90_UPI003B63DDC6	528	42.9
UniRef90_A0A8S4BKC0	473	44.9
UniRef90_UPI002AC800B7	518	43.5
UniRef90_UPI002FD2F407	553	42.4
UniRef90_A0A671NKL5	474	42.5
UniRef90_UPI003462A992	555	44.0
UniRef90_UPI002FD72364	476	44.2
UniRef90_A0A4Z2GF37	499	45.3
UniRef90_A0A6P7MRW4	492	46.0
UniRef90_UPI0034637975	470	43.2
UniRef90_UPI002F358744	495	41.9
UniRef90_UPI003B27E785	440	45.0
UniRef90_A0ABD1K2H5	541	41.0
UniRef90_A0A3Q2XS64	486	45.8
UniRef90_UPI002AC861CB	475	46.3
UniRef90_UPI00234B686E	498	45.1
UniRef90_A0A3P9NTR9	499	44.7
UniRef90_UPI002AD48816	444	45.2
UniRef90_UPI0030815292	522	45.0
UniRef90_UPI001B7F0F24	445	43.0
UniRef90_A0A671UI21	503	44.8
UniRef90_A0A6P3VQB4	451	42.7
UniRef90_A0A6P7MYI3	441	43.2
UniRef90_A0A3B3SLE3	474	43.9
UniRef90_UPI003F776FC6	476	43.7
UniRef90_UPI00397EA5AA	444	44.7
UniRef90_UPI002FCCD4E8	444	42.7
UniRef90_A0A3Q3ABQ2	444	43.4
UniRef90_A0A4W6BQQ6	515	42.8
UniRef90_A0A8C5HC21	494	44.8
UniRef90_UPI002FCCFC91	452	44.3
UniRef90_A0A670IMG3	508	44.0
UniRef90_UPI0025400DFF	486	44.7
UniRef90_UPI002223303A	443	42.7
UniRef90_UPI002ACD408D	499	45.5
UniRef90_A0A3B3SKZ2	488	44.9
UniRef90_A0A3Q3WBS3	479	42.6
UniRef90_UPI001B7E5051	469	42.9
UniRef90_A0A665U4F3	516	42.6
UniRef90_A0A6P7YJJ4	461	43.6
UniRef90_A0A6P8Q598	451	43.7
UniRef90_A0AAN8LEZ4	496	41.7
UniRef90_A1L235	486	44.0
UniRef90_A0AAJ7WUA2	499	44.4
UniRef90_A0AAV1F429	444	44.4
UniRef90_A0A4W3H0G5	412	44.1
UniRef90_A0A2I0TB21	446	46.6
UniRef90_A0ABM1JS73	470	45.3
UniRef90_A0A8C6WJ03	416	42.4
UniRef90_UPI001A9818E5	516	41.6
UniRef90_A0A671NKQ0	494	42.9
UniRef90_UPI001C8AF00E	439	43.6
UniRef90_A0A8C9RT99	472	44.6
UniRef90_UPI0035BFE69E	451	45.2
UniRef90_A0A7K9QDI3	432	44.5
UniRef90_A0A9N7TZ13	533	45.3
UniRef90_UPI0037515B83	445	44.6
UniRef90_A0A3Q1FQX0	502	45.0
UniRef90_A0A146ZTV8	514	42.5
UniRef90_A0ABM1KRQ6	572	42.5
UniRef90_UPI00223D93C6	492	43.5
UniRef90_A0A3B3QQT2	470	44.3
UniRef90_UPI001CFC3BF4	538	41.8
UniRef90_UPI0037E8AD16	504	45.5
UniRef90_UPI003831718C	494	43.8
UniRef90_A0A8T2J1B3	472	44.7
UniRef90_A0A674A9V1	495	42.2
UniRef90_UPI002FD1185B	368	56.5
UniRef90_A0A8C8RMH0	487	41.1
UniRef90_UPI003B838336	606	43.2
UniRef90_UPI0022222DF9	503	42.1
UniRef90_UPI00237DCCC5	515	43.5
UniRef90_A0A8C7U7U8	505	39.1
UniRef90_A0A8C7SU29	439	47.0
UniRef90_UPI003F500447	484	44.5
UniRef90_A0AAY4A2I2	473	43.8
UniRef90_A0A672H8G8	474	41.7
UniRef90_A0A3Q3D1Y0	474	45.0
UniRef90_A0A6P8EQP8	463	44.7
UniRef90_A0A8M1KH44	532	42.4
UniRef90_A0A2G9RA37	487	44.3
UniRef90_UPI0031F36DA7	476	43.9
UniRef90_G3P1P8	445	43.9
UniRef90_UPI00292EAE54	491	45.5
UniRef90_UPI0037E8392F	470	45.5
UniRef90_A0A3Q3NKR6	515	42.6
UniRef90_A0A672H9H2	449	43.4
UniRef90_A0A6P8PEZ9	539	43.1
UniRef90_A0A8D0DG19	439	44.2
UniRef90_A0A670J9C8	496	45.8
UniRef90_UPI003F4DFACE	485	44.0
UniRef90_A0ABM4F478	577	43.7
UniRef90_UPI004042646C	452	44.5
UniRef90_A0A3B3QN19	486	43.5
UniRef90_A0A8D0DND0	442	42.6
UniRef90_UPI003831B466	488	45.4
UniRef90_A0A1S3KN81	492	45.3
UniRef90_A0A8C6IR35	481	45.3
UniRef90_A0A4W6CHG7	470	43.8
UniRef90_H2UXE0	515	44.0
UniRef90_A0A9N7TZ16	429	42.4
UniRef90_UPI003F4EF07A	484	44.0
UniRef90_A0A3P8XI81	496	43.0
UniRef90_V9KHR2	524	42.8
UniRef90_A0A9Q1HYL3	479	42.6
UniRef90_UPI002AD3FFBC	436	43.1
UniRef90_A0ABD0W980	492	45.0
UniRef90_A0AAV7BXG8	481	43.8
UniRef90_A0A3B4US60	515	42.6
UniRef90_A0A6J0TZ90	504	44.0
UniRef90_A0A401SPW1	438	42.8
UniRef90_UPI002ADF64C9	516	45.3
UniRef90_U3J7U9	472	46.0
UniRef90_UPI0018E8E73E	451	44.8
UniRef90_UPI0035AD85CD	520	43.0
UniRef90_A0AAY4BFQ7	454	42.5
UniRef90_UPI0037097180	557	44.6
UniRef90_A0A8C9RRU2	478	41.8
UniRef90_UPI0035228119	445	42.9
UniRef90_UPI003F717D62	467	44.4
UniRef90_UPI001863A3FF	469	43.4
UniRef90_A0A672ZYZ5	469	44.7
UniRef90_A0A6G1QTU1	514	41.9
UniRef90_UPI00352AFE16	503	43.3
UniRef90_A0A8C2WE54	470	45.4
UniRef90_UPI0025A640F1	527	43.3
UniRef90_UPI002A6ABE94	482	44.2
UniRef90_A0A3Q2Y4E4	516	43.2
UniRef90_A0A3B5L8G7	472	43.1
UniRef90_A0A6P8X913	450	44.7
UniRef90_A0A8D0FZI8	474	49.1
UniRef90_UPI001899AEBF	444	44.0
UniRef90_A0ACF8GZM1	501	42.2
UniRef90_UPI001560D1E5	468	44.9
UniRef90_A0A8T3CWK5	491	44.8
UniRef90_A0A1A8AKX9	515	42.8
UniRef90_UPI0035C22760	471	44.2
UniRef90_UPI003F58795D	517	45.0
UniRef90_A0A087YG09	495	44.8
UniRef90_A0A7L3AG84	441	44.4
UniRef90_UPI003F71A24B	497	45.9
UniRef90_A0AAV6GH25	453	41.8
UniRef90_UPI00237E7C15	487	44.9
UniRef90_A0AAN7XNL3	445	43.8
UniRef90_A0A7N5ZQ65	456	43.4
UniRef90_A0A6P7I1B3	469	45.5
UniRef90_UPI00189827FD	514	42.3
UniRef90_M4AIZ4	514	42.5
UniRef90_UPI0023039144	503	45.9
UniRef90_UPI002242A3B4	503	41.9
UniRef90_A0A6A5FDT6	516	43.0
UniRef90_A0A3Q4H095	439	44.9
UniRef90_A0A3P8TT44	624	43.9
UniRef90_A0A8C6SU56	462	41.9
UniRef90_A0AA88MSY2	496	45.3
UniRef90_UPI001ED7D561	464	44.7
UniRef90_UPI001FB6300F	476	44.5
UniRef90_A0A8C0H6Z1	454	41.3
UniRef90_A0A3Q2Y472	523	43.3
UniRef90_A0A7K5WPK2	434	45.9
UniRef90_UPI001CF7CE27	607	42.4
UniRef90_A0AAV6T0B7	502	44.8
UniRef90_UPI004057A9EB	469	45.4
UniRef90_A0A3Q3F4S3	515	43.0
UniRef90_A0A3Q2QX68	438	44.8
UniRef90_UPI003994B838	471	45.1
UniRef90_A0A484D528	516	43.0
UniRef90_A0A8C9VTR2	460	44.3
UniRef90_A0A4Z2GFF4	450	43.3
UniRef90_UPI00072E1DD3	485	45.3
UniRef90_A0AAX7US11	486	44.7
UniRef90_UPI003F72C9B9	520	41.9
UniRef90_A0A8C5F6T5	509	43.5
UniRef90_A0A4W6DMU6	476	44.0
UniRef90_A0A087YL21	400	44.4
UniRef90_UPI00202B26F3	445	43.7
UniRef90_A0A7K6HEA4	436	45.1
UniRef90_A0A6P7YF56	469	46.1
UniRef90_A0A6I9YX23	447	44.0
UniRef90_A0A3Q1JWE4	471	45.3
UniRef90_F7GA33	484	42.3
UniRef90_UPI0037E97A0A	518	42.0
UniRef90_UPI002ADD6C56	488	44.7
UniRef90_A0A7K5PHN6	433	44.8
UniRef90_A0A851CHR5	444	42.2
UniRef90_A0ABQ7TK20	445	41.8
UniRef90_A0A3B4US46	445	44.2
UniRef90_A0A671UEL3	513	43.5
UniRef90_H2L4F2	503	44.6
UniRef90_A0A3B3T657	492	42.3
UniRef90_UPI001C0512F1	515	42.8
UniRef90_UPI002AD5A919	635	45.0
UniRef90_UPI003EC0DADD	518	42.4
UniRef90_A0ABS2YPC2	613	43.8
UniRef90_G1KI33	474	44.8
UniRef90_A0A4V6AN52	465	45.3
UniRef90_UPI002F35E790	467	43.5
UniRef90_A0A3B3U7M6	479	44.7
UniRef90_A0A3Q1C9H0	468	45.8
UniRef90_A0AAV1MZI7	469	43.7
UniRef90_A0A091GK72	404	44.5
UniRef90_UPI0025A56365	492	44.8
UniRef90_A0A667WKM9	470	43.7
UniRef90_G3P1P1	494	44.6
UniRef90_A0A6P8VZA3	517	43.2
UniRef90_A0A3P8XRN6	472	43.3
UniRef90_UPI002FD53569	487	43.9
UniRef90_A0A3Q3E426	476	43.7
UniRef90_UPI0037E7A0F1	411	46.6
UniRef90_I3J859	499	44.4
UniRef90_A0A6P7YHN3	513	42.0
UniRef90_A0A6P7KBR6	513	40.9
UniRef90_A0A4W3KAN5	469	45.2
UniRef90_A0A8C7Y480	469	43.9
UniRef90_H2L4C5	469	43.8
UniRef90_A0A3P8UGD1	515	41.9
UniRef90_UPI002ADE4C13	470	44.5
UniRef90_A0A6I9YPV1	470	43.3
UniRef90_A0A8C4TEV9	472	44.8
UniRef90_A0A7K7P373	439	45.8
UniRef90_A0A6P7KFY2	440	43.1
UniRef90_A0A7L3MUE7	440	45.3
UniRef90_A0A8C2X547	476	43.2
UniRef90_A0A671W8B4	465	43.9
UniRef90_UPI003D9E9B17	444	41.7
UniRef90_A0A852ERU0	434	45.5
UniRef90_UPI003F6F67A8	446	42.6
UniRef90_A0AA88TN44	469	42.3
UniRef90_H2UXI1	503	45.0
UniRef90_A0A3Q1CVV7	515	42.2
UniRef90_A0A9Q0XJ66	515	43.6
UniRef90_A0A6P6JG32	439	42.7
UniRef90_UPI0014708B23	495	40.6
UniRef90_A0AAV7N4A0	474	44.8
UniRef90_A0A3B3T632	478	43.0
UniRef90_UPI002ADF1B22	467	44.5
UniRef90_UPI001C4DC39F	469	45.7
UniRef90_A0A4W6BRK2	481	45.0
UniRef90_A0A3B4XEK8	538	45.4
UniRef90_A0A669D7Y4	515	42.2
UniRef90_A0A6P3VPN1	506	45.0
UniRef90_UPI0025A5CA40	441	43.3
UniRef90_A0ABQ9DPT4	442	47.3
UniRef90_UPI0004627CF6	445	43.4
UniRef90_UPI003F5A3120	490	44.8
UniRef90_A0A3P8X779	468	44.4
UniRef90_UPI0015ABB19A	502	42.9
UniRef90_A0AAN8CHQ4	502	44.6
UniRef90_A0A8C4QUF0	480	43.3
UniRef90_A0A7K5J3R5	436	45.6
UniRef90_A0ABM1KI03	469	44.6
UniRef90_UPI001ED85AFB	438	44.6
UniRef90_UPI002404C755	494	44.7
UniRef90_A0A5A9PUQ6	441	42.9
UniRef90_UPI001175E99E	498	44.6
UniRef90_A0A3Q3XCG2	476	42.3
UniRef90_A0A3Q3NGY5	476	42.4
UniRef90_A0A8C9KXR4	435	45.3
UniRef90_A0A8B7AAD9	481	42.7
UniRef90_A0AAD3RAE6	493	44.8
UniRef90_UPI002FD7A2EA	449	45.8
UniRef90_A0AAV7N260	649	44.6
UniRef90_UPI003CC9FF91	484	43.5
UniRef90_A0A8C7PTF0	475	43.0
UniRef90_UPI001CF68625	476	42.9
UniRef90_UPI001B7E6075	465	44.8
UniRef90_A0A7K4X633	443	45.1
UniRef90_A0ACC2G2C5	499	42.2
UniRef90_UPI001592468C	444	42.6
UniRef90_UPI0031F44344	444	43.4
UniRef90_G3N8Q0	467	44.2
UniRef90_A0A8C3I7V3	468	46.7
UniRef90_A0AAV6SX99	515	41.9
UniRef90_A0A3Q3IIV8	470	45.5
UniRef90_A0A3Q2ZW40	470	43.9
UniRef90_A0A3Q3X998	459	43.6
UniRef90_A0AAV1F505	504	44.1
UniRef90_A0A6J0UF25	450	44.3
UniRef90_A0A8D2LKC4	441	43.8
UniRef90_UPI00232A633C	476	42.7
UniRef90_A0A3B3XSM6	499	44.6
UniRef90_A0A4W4GN30	499	42.0
UniRef90_A0A3B5L5C6	489	44.1
UniRef90_A0A3Q0SRD8	469	44.3
UniRef90_UPI003F775148	447	42.7
UniRef90_A0A8C2XHV1	470	44.5
UniRef90_A0A9Q1G0L2	472	41.9
UniRef90_A0A6J0TAZ1	475	44.1
UniRef90_UPI002FCD0DEC	605	43.6
UniRef90_A0A7L4KXC7	444	45.9
UniRef90_G1KFN5	500	41.3
UniRef90_A0A6J2PBM8	512	43.0
UniRef90_A0A3Q4MPG5	467	40.0
UniRef90_UPI00235A7252	490	43.1
UniRef90_A0A3Q2CR99	513	41.1
UniRef90_W5NA62	468	43.6
UniRef90_A0A9D3LTE4	469	44.5
UniRef90_A0AAN9C543	503	41.4
UniRef90_UPI001A99562D	481	41.7
UniRef90_UPI001BD6D0AC	470	44.8
UniRef90_UPI00266C5EDB	470	43.9
UniRef90_UPI002AE08517	528	42.1
UniRef90_UPI001ED83BDD	517	42.8
UniRef90_UPI0013782964	529	41.1
UniRef90_A0AA47MK90	495	45.7
UniRef90_A0A850V9M0	440	44.7
UniRef90_A0A3B3R656	465	43.4
UniRef90_A0A8C4ZNC2	465	43.9
UniRef90_UPI001F0887A1	478	44.8
UniRef90_A0A669Q0T2	478	44.8
UniRef90_A0A7L1WKR4	434	44.8
UniRef90_A0A8B9F9F6	434	46.7
UniRef90_UPI003F5A7B55	479	44.9
UniRef90_A0A7N6BS76	548	42.8
UniRef90_A0A7K9CXY8	470	46.1
UniRef90_A0A9Q0XIQ5	437	42.1
UniRef90_A0ABM4P5X6	394	46.6
UniRef90_UPI002407559C	527	43.8
UniRef90_UPI001885FF8F	539	42.9
UniRef90_A0A665U4N0	451	44.9
UniRef90_UPI002E157A6D	452	41.8
UniRef90_UPI0027DF8141	475	44.6
UniRef90_H3BX70	456	43.2
UniRef90_UPI00232A2CC0	445	43.5
UniRef90_A0AAV1PUZ7	514	42.0
UniRef90_UPI0029C036A8	515	41.4
UniRef90_A0A3B4ZHN5	470	43.8
UniRef90_A0A8C4KDH3	449	43.1
UniRef90_UPI0039807BEE	472	43.7
UniRef90_A0A3N0YCC6	439	43.6
UniRef90_A0A851C2M3	440	45.6
UniRef90_A0A7L2CG94	440	43.4
UniRef90_UPI00094E3D1A	474	43.2
UniRef90_A0A670YKE9	474	44.0
UniRef90_A0AAV6QSZ0	508	45.1
UniRef90_A0A3B1J7X2	442	43.2
UniRef90_UPI0024071E76	443	42.9
UniRef90_UPI004042CCBA	454	42.8
UniRef90_A0A665SXL5	477	42.0
UniRef90_A0A401T0P0	466	44.8
UniRef90_F7FU16	478	44.6
UniRef90_UPI002FCD2B77	524	42.3
UniRef90_UPI00232A6FC3	515	41.4
UniRef90_UPI003D9F1086	470	44.3
UniRef90_A0A3B5L453	470	43.2
UniRef90_UPI001F072AA9	528	42.0
UniRef90_A0A1S3P2D9	472	43.8
UniRef90_A0A3B3SL45	461	42.3
UniRef90_A0A6J2VNJ8	474	45.3
UniRef90_UPI001C4B9640	508	42.9
UniRef90_K7GAQ0	453	44.1
UniRef90_UPI00399456D7	465	44.4
UniRef90_UPI0037E791AC	477	44.0
